"Index","Open","High","Low","Close","Volume"
2057-08-13,480.96,480.96,479.2,479.6,1888
2057-08-14,477.2,480.96,475.76,480.8,3216
2057-08-15,481.6,482.16,479.36,482,3320
2057-08-16,481.2,481.2,477.6,478.96,1952
2057-08-17,476.8,479.6,476.4,478.96,2464
2057-08-18,478.96,480,478,478.16,3048
2057-08-19,478,479.36,478,478.96,2240
2057-08-20,478,478.4,477.2,477.36,2120
2057-08-21,477.36,477.6,476.56,476.96,1576
2057-08-22,458.4,459.2,456,456.16,5760
2057-08-23,455.2,456.4,447.36,453.76,12720
2057-08-24,453.2,455.76,450.8,450.96,11264
2057-08-25,451.6,455.2,448,452.8,13200
2057-08-26,452.8,454.4,450.4,451.6,6336
2057-08-27,452.56,454.16,451.6,451.76,5656
2057-08-28,453.2,462,453.2,461.2,13544
2057-08-29,461.6,464.4,460.16,461.2,7752
2057-08-30,461.6,461.6,458,460,3232
2057-08-31,460.8,466.16,460.8,465.76,6208
2057-09-01,465.6,469.6,465.6,468.96,17672
2057-09-02,469.2,474,468.4,473.36,9264
2057-09-03,473.2,473.2,467.2,467.6,7368
2057-09-04,466.8,466.8,455.6,455.6,12632
2057-09-05,452,456.8,452,455.2,8072
2057-09-06,455.6,455.76,451.2,452.96,4976
2057-09-07,452.96,456.4,451.2,455.36,3952
2057-09-08,455.2,460.4,454,458.16,7416
2057-09-09,460,464.4,459.6,463.6,6912
2057-09-10,464,464,459.2,463.36,4800
2057-09-11,465.2,469.36,465.2,468,7200
2057-09-12,465.2,466,462.56,464.16,3520
2057-09-13,464,466.56,463.2,463.36,4640
2057-09-14,462.4,465.2,460.16,461.2,4544
2057-09-15,463.6,463.6,456.4,456.96,7992
2057-09-16,456.4,460.8,455.36,458.4,7984
2057-09-17,456,462.8,454.96,462.16,7256
2057-09-18,460,460.56,456,456.56,5472
2057-09-19,455.6,456,451.2,452,9416
2057-09-20,449.6,457.6,449.36,453.2,5376
2057-09-21,452.4,454.96,451.6,451.76,3264
2057-09-22,451.2,453.2,451.2,452.4,7296
2057-09-23,453.6,458.8,453.36,457.76,7632
2057-09-24,457.2,457.6,455.6,456.4,4504
2057-09-25,458.4,460.56,457.6,459.2,3280
2057-09-26,458.4,460,456.56,456.96,3744
2057-09-27,455.36,456,454.16,454.96,4992
2057-09-28,453.36,453.6,452.56,453.2,3752
2057-09-29,452.8,453.2,452,452.56,4488
2057-09-30,451.2,451.6,449.6,449.76,9264
2057-10-01,449.2,449.36,448,448,6080
2057-10-02,448.16,448.96,447.6,448.16,5104
2057-10-03,448.16,448.96,448,448.56,3936
2057-10-04,450,450.4,443.6,443.76,14776
2057-10-05,445.2,448.8,442.4,445.6,6120
2057-10-06,446.8,447.6,444.8,446.16,3720
2057-10-07,448,448.8,441.6,442.4,6208
2057-10-08,442.4,445.2,441.6,442.56,2872
2057-10-09,441.2,442.8,435.6,436.16,5168
2057-10-10,435.76,438.8,435.2,435.76,3744
2057-10-11,434.4,435.2,423.76,425.6,8584
2057-10-12,420,428,414.4,420.8,11360
2057-10-13,423.2,426.4,417.6,418,5008
2057-10-14,421.6,421.6,418,419.36,2360
2057-10-15,420,420,414.56,414.96,3520
2057-10-16,419.2,419.6,415.6,416.56,2832
2057-10-17,416,417.6,413.36,414.56,2832
2057-10-18,413.36,416.8,413.36,414.56,2464
2057-10-19,412.8,413.6,408,408.96,3960
2057-10-20,401.6,407.2,400.8,404.4,4096
2057-10-21,406.4,408,406,406.4,2904
2057-10-22,407.6,408,405.6,406.16,1848
2057-10-23,369.2,386,369.2,384.56,18752
2057-10-24,391.2,396.56,391.2,396.56,9064
2057-10-25,404.8,408.56,397.6,407.76,17000
2057-10-26,410.4,411.2,402,410.56,11160
2057-10-27,412.96,422.56,412.96,422.56,7808
2057-10-28,426.8,430,421.6,425.76,8232
2057-10-29,422.4,428.8,418,425.6,6656
